Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/08  06:00:00,100.421755102,25.5523347433,13.0278583051,13.4446846573,2.06121554724,15.9888894789,113.111891853,110.120161435,2.97173041782,0.02
 01/08  07:00:00,90.2002161711,20.4418677947,10.1249316661,11.9458089679,2.06121554724,15.9888894789,91.2799188094,88.2881883916,2.97173041782,0.02
 01/08  08:00:00,99.7931926706,25.5523347433,12.7447239758,15.5741597502,2.06121554724,15.9888894789,113.949820424,110.958090006,2.97173041782,0.02
 01/08  09:00:00,104.821408548,20.4418677947,10.5827018962,11.0611066389,4.12243109448,41.7362269337,89.7417301029,84.7688460732,4.9528840297,0.02
 01/08  10:00:00,120.332388283,25.5523347433,14.1960902843,13.0902157189,4.12243109448,41.7362269337,108.72585759,103.75297356,4.9528840297,0.02
 01/08  11:00:00,104.435481875,20.4418677947,12.2153544258,9.15354448321,4.12243109448,41.7362269337,86.228833547,81.2559495173,4.9528840297,0.02
 01/08  12:00:00,119.452194359,25.5523347433,16.9363719302,9.48011394467,4.12243109448,41.7362269337,103.938276038,98.965392008,4.9528840297,0.02
 01/08  13:00:00,100.424573939,19.6577789996,14.4272494469,3.60568750059,4.12243109448,41.7362269337,83.2511477928,78.2782637631,4.9528840297,0.02
 01/08  14:00:00,111.227768643,23.1020572587,18.7670780796,0.0,4.12243109448,41.7362269337,100.613542719,95.6406586898,4.9528840297,0.02
 01/08  15:00:00,98.7888521368,18.481645807,15.3553535988,0.0,4.12243109448,41.7362269337,80.1388981575,75.1660141278,4.9528840297,0.02
 01/08  16:00:00,112.954787217,23.1020572587,19.9803839345,0.0,4.12243109448,41.7362269337,96.985265625,92.0123815953,4.9528840297,0.02
 01/08  17:00:00,83.6738413638,19.8538011984,15.8496748213,1.49744985155,4.12243109448,24.8785346261,80.3959686055,75.4230845758,4.9528840297,0.02
 01/08  18:00:00,90.6082838003,23.1020572587,19.8768236299,0.0,2.06121554724,15.9888894789,106.286364382,103.294633964,2.97173041782,0.02
