PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,san jose ca,,,,,,,,,
Location:,"SAN FRANCISCO, CA",,,,,,,,,
Lat (deg N):,37.62,,,,,,,,,
Long (deg W):,122.38,,,,,,,,,
Elev (m):,5,,,,,,,,,
DC System Size (kW):,200,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,37.3,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.14,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,10,18,0,0,10,2.1,0,10,0,0
1,10,19,0,0,8.9,3.1,0,8.9,0,0
1,10,20,0,0,6.7,2.1,0,6.7,0,0
1,10,21,0,0,7.8,3.1,0,7.8,0,0
1,10,22,0,0,7.8,2.1,0,7.8,0,0
1,10,23,0,0,7.2,3.1,0,7.2,0,0
1,11,0,0,0,6.7,3.1,0,6.7,0,0
1,11,1,0,0,5,1.5,0,5,0,0
1,11,2,0,0,4.4,0,0,4.4,0,0
1,11,3,0,0,3.9,1.5,0,3.9,0,0
1,11,4,0,0,4.4,0,0,4.4,0,0
1,11,5,0,0,5.6,0,0,5.6,0,0
1,11,6,0,0,6.1,1.5,0,6.1,0,0
1,11,7,2,14,6.1,2.6,12.857,4.442,2407.129,1250.21
1,11,8,23,64,6.7,3.1,80.758,6.87,14961.342,13560.057
1,11,9,5,102,6.1,2.6,99.083,6.954,18478.674,17004.109
1,11,10,10,118,6.1,0,116.427,9.078,21518.475,19978.879
1,11,11,729,110,8.9,1.5,835.038,31.334,139233.891,133964.813
1,11,12,728,112,10,1.5,850.94,35.41,139122.203,133857.781
1,11,13,679,103,10.6,1.5,761.719,33.642,125528.289,120814.906
1,11,14,403,144,10.6,1.5,511.433,26.458,87026.805,83703.172
1,11,15,214,85,12.2,0,242.114,24.312,41227.906,39228.461
1,11,16,109,33,10,2.6,94.561,11.27,16571.898,15137.321
1,11,17,0,0,9.4,1.5,0,9.4,0,0
1,11,18,0,0,9.4,1.5,0,9.4,0,0
1,11,19,0,0,7.2,4.1,0,7.2,0,0
1,11,20,0,0,9.4,1.5,0,9.4,0,0
1,11,21,0,0,6.1,1.5,0,6.1,0,0
1,11,22,0,0,6.1,1,0,6.1,0,0
1,11,23,0,0,4.4,3.1,0,4.4,0,0
1,12,0,0,0,4.4,1,0,4.4,0,0
1,12,1,0,0,3.9,2.1,0,3.9,0,0
1,12,2,0,0,3.3,1,0,3.3,0,0
1,12,3,0,0,3.9,0,0,3.9,0,0
1,12,4,0,0,2.8,0,0,2.8,0,0
1,12,5,0,0,2.8,0,0,2.8,0,0
1,12,6,0,0,2.8,1.5,0,2.8,0,0
1,12,7,26,13,4.4,0,23.569,1.081,4272.739,3081.205
1,12,8,263,54,6.7,0,217.691,13.213,38260.086,36334.121
1,12,9,525,76,8.9,1.5,483.786,21.897,83544.313,80333.922
1,12,10,636,98,10,2.1,680.475,27.777,115193.375,110877.844
1,12,11,638,98,10.6,2.6,736.635,29.144,124131.547,119472.992
1,12,12,777,99,12.2,2.1,875.33,35.582,142987.328,137560.5
1,12,13,752,93,12.8,2.1,809.742,34.931,132596.438,127600.477
1,12,14,680,81,12.8,2.1,661.028,30.992,109946.82,105826.297
1,12,15,540,62,12.8,1.5,437.761,26.138,73529.813,70633.57
1,12,16,221,34,12.2,2.1,153.433,15.906,26054.203,24414.648
1,12,17,2,1,10.6,2.6,1.501,9.191,257.573,0
1,12,18,0,0,10.6,2.1,0,10.6,0,0
1,12,19,0,0,8.3,0,0,8.3,0,0
1,12,20,0,0,7.2,1.5,0,7.2,0,0
1,12,21,0,0,7.2,1.5,0,7.2,0,0
1,12,22,0,0,8.9,1.5,0,8.9,0,0
1,12,23,0,0,5.6,1.5,0,5.6,0,0
1,13,0,0,0,5,2.6,0,5,0,0
1,13,1,0,0,5.6,1.5,0,5.6,0,0
1,13,2,0,0,5,1.5,0,5,0,0
1,13,3,0,0,6.1,1,0,6.1,0,0
1,13,4,0,0,5.6,1.5,0,5.6,0,0
1,13,5,0,0,3.9,1,0,3.9,0,0
1,13,6,0,0,5,1,0,5,0,0
1,13,7,45,15,6.7,0,36.723,4.066,6531.016,5296.788
1,13,8,302,58,7.8,2.1,242.367,12.53,42677.977,40642.086
1,13,9,529,82,8.9,1.5,493.434,22.271,85072.352,81812.531
1,13,10,607,103,9.4,3.6,662.373,24.015,114145.086,109868.891
1,13,11,669,119,10,3.1,791.806,28.762,133677.391,128637.461
1,13,12,627,134,11.1,2.6,784.169,31.069,130964.016,126034.063
1,13,13,523,140,11.7,2.6,660.19,28.644,111483.289,107306.141
1,13,14,118,141,12.2,1.5,253.064,20.285,44393.082,42313.621
1,13,15,138,126,11.7,4.1,238.465,15.901,42409.031,40379.93
1,13,16,257,31,11.1,4.1,168.358,13.726,28784.008,27082.602
1,13,17,6,0,10.6,5.7,1.807,9.571,274.218,0
1,13,18,0,0,10.6,4.1,0,10.6,0,0
1,13,19,0,0,10.6,3.6,0,10.6,0,0
1,13,20,0,0,10,4.1,0,10,0,0
1,13,21,0,0,10,4.6,0,10,0,0
1,13,22,0,0,8.3,2.6,0,8.3,0,0
1,13,23,0,0,7.2,1.5,0,7.2,0,0
1,14,0,0,0,7.2,0,0,7.2,0,0
1,14,1,0,0,5.6,1,0,5.6,0,0
1,14,2,0,0,5.6,1.5,0,5.6,0,0
1,14,3,0,0,5.6,1,0,5.6,0,0
1,14,4,0,0,5.6,1.5,0,5.6,0,0
1,14,5,0,0,4.4,0,0,4.4,0,0
1,14,6,0,0,3.9,1,0,3.9,0,0
1,14,7,43,19,5,0,37.792,2.396,6797.697,5558.37
1,14,8,18,64,6.1,0,77.476,5.862,14435.09,13044.589
1,14,9,2,123,6.7,0,120.603,9.557,22245.721,20690.334
