PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,los angeles ca,,,,,,,,,
Location:,"LOS ANGELES, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,32,,,,,,,,,
DC System Size (kW):,50,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,34.1,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.3	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,12,23,0,0,13.3,3.1,0,13.3,0,0
1,13,0,0,0,12.2,2.1,0,12.2,0,0
1,13,1,0,0,9.4,3.6,0,9.4,0,0
1,13,2,0,0,11.7,2.6,0,11.7,0,0
1,13,3,0,0,10.6,2.6,0,10.6,0,0
1,13,4,0,0,10,2.1,0,10,0,0
1,13,5,0,0,10,2.6,0,10,0,0
1,13,6,0,0,12.2,4.1,0,12.2,0,0
1,13,7,135,29,11.7,3.1,99.776,12.671,4258.042,3896.999
1,13,8,444,79,14.4,3.1,361.131,21.633,15381.053,14745.511
1,13,9,628,107,17.2,2.6,617.12,31.822,25503.533,24544.885
1,13,10,795,101,18.9,2.6,831.761,39.259,33303.242,32047.988
1,13,11,823,109,20.6,4.1,921.339,40.432,36720.961,35322.668
1,13,12,827,109,21.1,3.6,927.122,42.099,36640.629,35245.793
1,13,13,791,101,21.7,2.6,834.066,42.801,32805.848,31570.744
1,13,14,711,86,19.4,3.1,662.132,35.35,26901.248,25892.5
1,13,15,550,64,17.2,4.6,416.463,25.557,17416.273,16721.377
1,13,16,136,30,15.6,2.6,102.032,17.637,4270.521,3909.217
1,13,17,0,0,13.3,4.1,0,13.3,0,0
1,13,18,0,0,12.8,3.1,0,12.8,0,0
1,13,19,0,0,12.2,3.1,0,12.2,0,0
1,13,20,0,0,12.8,2.1,0,12.8,0,0
1,13,21,0,0,12.2,1.5,0,12.2,0,0
1,13,22,0,0,13.9,2.1,0,13.9,0,0
1,13,23,0,0,12.2,1.5,0,12.2,0,0
1,14,0,0,0,11.1,2.1,0,11.1,0,0
1,14,1,0,0,10.6,3.1,0,10.6,0,0
1,14,2,0,0,12.2,4.1,0,12.2,0,0
1,14,3,0,0,10.6,3.6,0,10.6,0,0
1,14,4,0,0,11.1,3.1,0,11.1,0,0
1,14,5,0,0,10.6,2.1,0,10.6,0,0
1,14,6,0,0,12.2,3.6,0,12.2,0,0
1,14,7,302,25,15.6,4.1,156.805,17.525,6362.139,5955.638
1,14,8,669,47,17.2,3.6,451.615,26.257,18723.174,17988.678
1,14,9,818,65,20.6,3.6,703.8,35.829,28490.836,27423.488
1,14,10,787,95,21.7,4.1,818.101,39.133,32777.125,31543.184
1,14,11,699,173,23.9,2.1,885.701,47.236,34086.289,32798.969
1,14,12,256,202,21.7,5.2,482.456,31.081,20145.738,19366.811
1,14,13,518,140,20.6,4.6,639.572,33.188,26404.01,25413.236
1,14,14,663,122,21.1,3.6,668.436,35.95,27093.537,26077.791
1,14,15,334,77,18.9,3.6,301.604,25.74,12656.568,12096.062
1,14,16,134,45,15.6,4.1,115.424,17.252,4880.239,4506.067
1,14,17,1,1,14.4,3.6,1.171,13.068,50.509,0
1,14,18,0,0,15,2.6,0,15,0,0
1,14,19,0,0,13.9,4.1,0,13.9,0,0
1,14,20,0,0,15,3.1,0,15,0,0
1,14,21,0,0,13.9,4.1,0,13.9,0,0
1,14,22,0,0,13.9,1.5,0,13.9,0,0
1,14,23,0,0,11.1,2.1,0,11.1,0,0
1,15,0,0,0,11.7,2.1,0,11.7,0,0
1,15,1,0,0,11.1,2.6,0,11.1,0,0
1,15,2,0,0,10.6,2.1,0,10.6,0,0
1,15,3,0,0,11.1,0,0,11.1,0,0
1,15,4,0,0,11.1,1.5,0,11.1,0,0
1,15,5,0,0,11.7,2.1,0,11.7,0,0
1,15,6,0,0,11.1,2.1,0,11.1,0,0
1,15,7,8,32,11.7,2.1,34.48,10.614,1565.96,1258.677
1,15,8,7,84,12.8,3.1,83.545,13.174,3785.631,3434.379
1,15,9,488,147,14.4,2.1,553.445,27.531,23370.719,22485.957
1,15,10,8,181,15.6,3.6,180.085,19.426,7945.821,7503.115
1,15,11,24,285,14.4,5.7,309.562,19.039,13683.386,13095.192
1,15,12,9,297,14.4,4.6,309.518,19.905,13627.711,13041.038
1,15,13,5,227,14.4,5.2,228.26,17.948,10140.115,9644.418
1,15,14,7,158,13.9,4.6,157.994,16.137,7074.79,6652.208
1,15,15,4,86,13.9,8.2,83.226,14.259,3756.036,3405.393
1,15,16,10,28,13.9,9.8,31.164,13.483,1392.691,1088.699
1,15,17,0,0,13.3,7.2,0,13.3,0,0
1,15,18,0,0,13.3,6.2,0,13.3,0,0
1,15,19,0,0,12.8,8.2,0,12.8,0,0
1,15,20,0,0,12.8,5.2,0,12.8,0,0
1,15,21,0,0,12.2,5.7,0,12.2,0,0
1,15,22,0,0,12.2,2.1,0,12.2,0,0
1,15,23,0,0,12.2,2.1,0,12.2,0,0
1,16,0,0,0,11.7,2.6,0,11.7,0,0
1,16,1,0,0,11.1,0,0,11.1,0,0
1,16,2,0,0,10,0,0,10,0,0
1,16,3,0,0,9.4,0,0,9.4,0,0
1,16,4,0,0,10,0,0,10,0,0
1,16,5,0,0,8.9,2.1,0,8.9,0,0
1,16,6,0,0,9.4,3.1,0,9.4,0,0
1,16,7,80,32,10.6,3.1,75.244,10.647,3283.708,2942.692
1,16,8,457,78,12.2,4.1,366,18.82,15781.867,15134.859
1,16,9,574,125,13.3,3.6,591.275,25.974,25137.482,24191.736
1,16,10,288,182,15,2.1,468.262,27.516,19872.482,19102.195
1,16,11,452,192,13.9,3.6,672.186,28.587,28404.109,27340.002
1,16,12,244,295,14.4,4.6,568.039,25.839,24322.953,23405.588
1,16,13,264,231,13.9,5.7,509.793,22.712,22136.74,21293.313
1,16,14,65,212,13.3,6.7,281.309,17.395,12510.97,11954.329
1,16,15,49,99,12.8,6.7,131.035,14.143,5881.446,5485.596
1,16,16,2,18,12.2,5.2,16.667,11.369,758.586,466.464
1,16,17,0,1,12.2,4.1,0.914,10.678,41.949,0
1,16,18,0,0,12.2,2.6,0,12.2,0,0
1,16,19,0,0,12.2,3.6,0,12.2,0,0
1,16,20,0,0,12.8,2.1,0,12.8,0,0
1,16,21,0,0,12.8,4.1,0,12.8,0,0
1,16,22,0,0,12.2,2.6,0,12.2,0,0
1,16,23,0,0,12.2,4.6,0,12.2,0,0
1,17,0,0,0,11.7,3.6,0,11.7,0,0
1,17,1,0,0,11.1,3.6,0,11.1,0,0
1,17,2,0,0,10.6,4.1,0,10.6,0,0
