PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,phoenix az,,,,,,,,,
Location:,"PHOENIX, AZ",,,,,,,,,
Lat (deg N):,33.43,,,,,,,,,
Long (deg W):,112.02,,,,,,,,,
Elev (m):,339,,,,,,,,,
DC System Size (kW):,250,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,33.4,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.1,,,,,,,,,
Capacity Factor (%),"20.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,6,18,0,0,12.8,1.5,0,12.8,0,0
1,6,19,0,0,11.7,0,0,11.7,0,0
1,6,20,0,0,11.1,0,0,11.1,0,0
1,6,21,0,0,10.6,2.1,0,10.6,0,0
1,6,22,0,0,10,2.6,0,10,0,0
1,6,23,0,0,8.9,2.1,0,8.9,0,0
1,7,0,0,0,8.3,0,0,8.3,0,0
1,7,1,0,0,8.3,2.6,0,8.3,0,0
1,7,2,0,0,7.8,0,0,7.8,0,0
1,7,3,0,0,7.8,1.5,0,7.8,0,0
1,7,4,0,0,7.2,2.1,0,7.2,0,0
1,7,5,0,0,6.7,2.1,0,6.7,0,0
1,7,6,0,0,6.7,2.1,0,6.7,0,0
1,7,7,1,7,6.7,2.1,6.721,4.836,1569.404,149.593
1,7,8,55,65,7.8,2.6,96.612,8.376,21968.822,20149.4
1,7,9,515,87,9.4,3.1,459.18,18.977,100036.055,96163.352
1,7,10,529,147,11.1,2.6,616.714,26.109,131423.984,126491.547
1,7,11,638,187,13.3,2.1,815.605,34.783,167120.156,160819.281
1,7,12,464,257,14.4,0,743.731,44.835,144934.484,139504.531
1,7,13,457,264,16.1,1.5,733.542,37.723,148176.203,142623.203
1,7,14,452,188,17.2,2.6,610.525,32.66,126202.992,121456.141
1,7,15,386,149,17.2,2.1,442.211,29.066,92346.289,88712.727
1,7,16,27,77,16.1,2.1,97.781,18.343,21503.148,19693.482
1,7,17,0,9,14.4,2.1,7.98,12.98,1812.52,388.28
1,7,18,0,0,13.3,1.5,0,13.3,0,0
1,7,19,0,0,12.2,1.5,0,12.2,0,0
1,7,20,0,0,11.7,1.5,0,11.7,0,0
1,7,21,0,0,10.6,1.5,0,10.6,0,0
1,7,22,0,0,9.4,1.5,0,9.4,0,0
1,7,23,0,0,8.9,2.1,0,8.9,0,0
1,8,0,0,0,7.8,1.5,0,7.8,0,0
1,8,1,0,0,7.2,1.5,0,7.2,0,0
1,8,2,0,0,6.7,3.1,0,6.7,0,0
1,8,3,0,0,6.1,2.6,0,6.1,0,0
1,8,4,0,0,6.1,3.1,0,6.1,0,0
1,8,5,0,0,6.1,3.1,0,6.1,0,0
1,8,6,0,0,5.6,3.1,0,5.6,0,0
1,8,7,23,6,5.6,3.6,12.359,4.134,2625.314,1186.211
1,8,8,291,60,6.7,3.1,219.068,10.27,48117.152,45702.531
1,8,9,424,121,8.3,3.1,434.576,17.617,95443.055,91714.164
1,8,10,562,151,11.1,0,647.578,36.474,131236.594,126310.875
1,8,11,665,174,13.3,2.1,828.788,35.206,169464.297,163067.484
1,8,12,679,165,14.4,2.1,859.662,37.558,173827.234,167249.859
1,8,13,632,170,15,2.1,802.133,36.795,162756.031,156631.781
1,8,14,570,173,15.6,1.5,690.854,36.307,140232.234,134978.266
