Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 03/31  19:00:00,98.6596781104,7.82670835486,19.8682365392,0.0,33.8341110165,33.3544677425,5.77358132001,0.0,0.0,5.77358132001
 03/31  20:00:00,108.436169715,7.84810245041,17.7011763153,0.0,36.5179666069,38.8247702939,5.79138115909,0.0186467319665,0.0,5.77273442712
 03/31  21:00:00,101.376608365,7.75842742634,16.2466715832,0.0,32.965339924,36.8579353714,11.5599158587,0.0,0.0,11.5599158587
 03/31  22:00:00,73.5185579832,7.25713211897,12.4368159237,0.0,25.6355707503,20.6438685092,5.77782847617,0.0,0.0,5.77782847617
 03/31  23:00:00,49.8705281087,6.78664007247,8.81189226436,0.0,15.0252895274,11.7056064465,6.09455594535,0.333219318272,0.0,5.76133662707
 03/31  24:00:00,42.5879057716,6.5550256001,6.7865440564,0.0,11.6412384099,10.0650221343,1.48487178296,1.46487178296,0.0,0.02
 04/01  01:00:00,42.5203977124,6.4366255432,5.63856263941,0.0,12.8411359301,10.0650221343,9.0067667033,3.2537247153,0.0,5.753041988
 04/01  02:00:00,36.3587906583,6.27118819745,4.26143582292,0.0,8.25718729233,10.0299323277,5.90277131232,5.88277131232,0.0,0.02
 04/01  03:00:00,35.160616366,6.14437487415,3.19006747688,0.0,8.25718729233,10.0299323277,14.1723457435,8.41942626422,0.0,5.75291947929
 04/01  04:00:00,35.9707219589,6.05572551133,2.48231986759,0.0,8.25718729233,11.6354268332,10.9748528917,10.9548528917,0.0,0.02
 04/01  05:00:00,39.4715754766,5.97972699967,1.90096237038,0.0,8.71707943955,15.3327214929,18.4463665827,12.6850998466,0.0,5.76126673604
 04/01  06:00:00,60.4462537255,6.08024435273,2.6793084557,0.0,18.5082010057,25.6353820695,18.3736696219,12.6052881807,0.0,5.76838144124
 04/01  07:00:00,73.0646574669,6.2998700489,4.39524488525,0.0,19.4083231844,41.0650158608,22.0972069258,10.5373768366,0.0,11.5598300893
 04/01  08:00:00,100.916928514,6.83068209768,9.72429868016,0.0,26.3286599382,57.9988325916,26.8846847189,3.42602729228,0.0,23.4586574266
 04/01  09:00:00,87.31537799,6.7075820472,11.3993212983,0.0,26.3286599382,42.8504436482,41.9097008613,0.511945115405,18.025,23.3727557459
 04/01  10:00:00,61.9898653329,6.49357790331,10.281537918,0.0,21.7447113004,23.4437158914,35.7594573681,0.236993774254,18.025,17.4974635938
 04/01  11:00:00,60.5855544474,6.62280733202,11.2095381922,0.0,19.3027497915,23.426170988,35.4964643695,0.0,18.025,17.4714643695
 04/01  12:00:00,60.9703880268,6.67190196202,11.4029056167,0.0,19.1483137236,23.7250123474,35.4713909008,0.0,18.025,17.4463909008
 04/01  13:00:00,62.3166781161,6.82261903749,12.452932846,0.0,19.3027497915,23.7161209604,35.469156379,0.0,18.025,17.444156379
 04/01  14:00:00,61.0179971322,6.68876292034,11.2881077974,0.0,19.3027497915,23.7161209604,29.7530315914,0.0901292065739,18.025,11.6379023848
 04/01  15:00:00,60.3274687129,6.628680803,10.9476110778,0.0,19.3027497915,23.426170988,35.4687640902,0.0,18.025,17.4437640902
 04/01  16:00:00,64.5916566924,6.65241968295,10.7367676623,0.0,19.3027497915,27.8956505705,23.7819443337,0.0,18.025,5.75694433371
 04/01  17:00:00,73.5630724875,6.88508005797,10.8531537488,0.0,18.2229234133,37.5968344597,5.76109280843,0.0,0.0,5.76109280843
 04/01  18:00:00,89.4372058613,7.17876098957,12.4804208231,0.0,32.690315043,37.0816133363,0.0283537552289,0.00835375522893,0.0,0.02
 04/01  19:00:00,93.8058209643,7.28983412955,12.8584958234,0.0,36.8143715336,33.066984531,5.77348107926,0.0,0.0,5.77348107926
 04/01  20:00:00,103.34589442,7.4206796401,13.2596433931,0.0,36.3493007332,38.7721355839,9.4230582415,0.666427992461,0.0,8.75663024903
 04/01  21:00:00,100.38815451,7.35572882594,12.4847205142,0.0,36.1807251679,36.8228455648,10.4771187214,1.93568790725,0.0,8.54143081417
 04/01  22:00:00,75.6195457837,6.92578117779,9.4665908063,0.0,31.0351095914,20.6438685092,8.86626682964,3.07646199421,0.0,5.78980483543
 04/01  23:00:00,49.4213426334,6.48739883943,6.26013558807,0.0,17.4250845679,11.7056064465,11.1198722448,5.35057036951,0.0,5.76930187534
 04/01  24:00:00,41.2870600665,6.29620410761,4.54462650962,0.0,12.8411359301,10.0650221343,13.6496984269,7.8924930146,0.0,5.75720541227
 04/02  01:00:00,40.2626854998,6.18196882881,3.5160982554,0.0,12.925468867,10.100111941,8.84866998533,8.82866998533,0.0,0.02
 04/02  02:00:00,34.6041221352,6.0644829074,2.59405122921,0.0,8.34152022915,10.0650221343,15.8124848187,10.0596095328,0.0,5.75287528586
 04/02  03:00:00,34.1141344617,6.01532741947,2.1532243772,0.0,8.34152022915,10.0650221343,11.9006164487,11.8806164487,0.0,0.02
 04/02  04:00:00,35.3943609948,5.9807179116,1.86154841351,0.0,8.34152022915,11.6705166398,18.5617891921,12.8050602923,0.0,5.75672889977
 04/02  05:00:00,39.3209858213,5.94891688902,1.66177909883,0.0,8.80141237637,15.3678112995,12.3924250976,12.3724250976,0.0,0.02
 04/02  06:00:00,60.1036625477,6.03896618748,2.37801444697,0.0,18.5082010057,25.6353820695,17.4566993819,11.6875194284,0.0,5.76917995358
 04/02  07:00:00,72.7657904222,6.24486254138,4.03199127619,0.0,19.4926561212,41.1001056674,22.0876692293,10.5284487997,0.0,11.5592204296
 04/02  08:00:00,99.4271709518,6.65523828594,8.41002871205,0.0,26.3286599382,57.9988325916,28.2464053397,4.79110414711,0.0,23.4553011926
 04/02  09:00:00,86.173698903,6.58298855149,10.5016850662,0.0,26.2443270014,42.8153538416,42.1486034954,0.751465669319,18.025,23.3721378261
 04/02  10:00:00,61.1857167844,6.40020683066,9.57078152954,0.0,21.7447113004,23.4437158914,35.6227180185,0.100526577333,18.025,17.4971914412
 04/02  11:00:00,60.5485525891,6.59993436658,11.1357129411,0.0,19.3449162599,23.4437158914,35.4962362318,0.0,18.025,17.4712362318
 04/02  12:00:00,62.6035820893,6.80278904675,12.8455102821,0.0,19.190480192,23.7425572507,35.4683318016,0.0,18.025,17.4433318016
 04/02  13:00:00,64.2640023828,6.97057978859,14.3120186021,0.0,19.260583323,23.698576057,35.4696369642,0.0,18.025,17.4446369642
