Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/12  24:00:00,48.4280673137,0.0,0.0,0.0,15.863942322,22.030085,6.08809205612,0.0,3.20568,2.88241205612
 08/13  01:00:00,48.4121739618,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  02:00:00,48.4079981372,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  03:00:00,48.4091381333,0.0,0.0,0.0,15.863942322,22.030085,6.08805104965,0.0,3.20568,2.88237104965
 08/13  04:00:00,48.6371904038,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  05:00:00,48.6183016255,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  06:00:00,42.9090459813,0.0,0.0,0.0,15.863942322,22.030085,6.08814328955,0.0,3.20568,2.88246328955
 08/13  07:00:00,39.9907457717,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  08:00:00,40.007414393,0.0,0.0,0.0,15.863942322,22.030085,6.08943103126,0.0,3.20568,2.88375103126
 08/13  09:00:00,40.0306139528,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  10:00:00,40.0373154012,0.0,0.0,0.0,15.863942322,22.030085,6.08931291051,0.0,3.20568,2.88363291051
 08/13  11:00:00,40.7406601132,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  12:00:00,40.0909307482,0.0,0.0,0.0,15.863942322,22.030085,6.08939402635,0.0,3.20568,2.88371402635
 08/13  13:00:00,40.1528844685,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
