Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/06  10:00:00,127.9039282,2.902461137,0,14.69079775,48.24748821,62.05474096,1.104179613,0,1.104179613,
 01/06  11:00:00,122.1668465,2.902461137,0,10.88030955,48.24748821,60.12814755,2.188482422,0,2.188482422,
 01/06  12:00:00,120.6625861,2.902461137,0,7.449455653,48.24748821,62.05474096,2.18927146,0,2.18927146,
 01/06  13:00:00,122.8611672,2.943268998,0,10.15157748,48.24748821,61.51039245,2.189479074,0,2.189479074,
 01/06  14:00:00,120.6389853,2.959113532,0,5.763708019,48.24748821,63.66023546,3.274628524,0,3.274628524,
 01/06  15:00:00,117.3732856,2.902461137,0,6.086748655,48.24748821,60.12814755,1.104025166,0,1.104025166,
 01/06  16:00:00,117.9699859,2.902461137,0,6.683448932,48.24748821,60.12814755,2.187968416,0,2.187968416,
 01/06  17:00:00,123.9662178,2.964959407,0,7.259959085,48.24748821,63.01803766,2.18891479,0,2.18891479,
 01/06  18:00:00,128.5493788,3.046985225,0,10.36934128,37.52582416,62.79478806,1.103707908,0,1.103707908,
 01/06  19:00:00,96.85561482,2.902461137,0,16.31837452,26.80416012,36.01817895,1.103604747,0,1.103604747,
 01/06  20:00:00,96.20974583,2.902461137,0,18.24129674,26.80416012,33.44938775,1.103325684,0,1.103325684,
 01/06  21:00:00,84.87120253,2.902461137,0,22.98524951,16.08249607,28.08855572,1.103386159,0,1.103386159,
 01/06  22:00:00,84.74306749,2.902461137,0,24.14151007,16.08249607,26.80416012,0.02,0,0.02,
 01/06  23:00:00,41.61660021,0,0,0,5.360832023,21.44332809,1.102967318,0,1.102967318,
 01/06  24:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/07  01:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102966194,0,1.102966194,
 01/07  02:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/07  03:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/07  04:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102964941,0,1.102964941,
 01/07  05:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/07  06:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.103072865,0,1.103072865,
 01/07  07:00:00,90.60691387,2.902461137,0,46.08785253,5.360832023,21.44332809,0.02,0,0.02,
 01/07  08:00:00,74.01388664,2.902461137,0,39.16124287,5.360832023,26.58091051,1.103169078,0,1.103169078,
 01/07  09:00:00,87.56762516,2.902461137,0,26.55301908,26.80416012,31.29954473,1.103361032,0,1.103361032,
 01/07  10:00:00,85.86596998,2.902461137,0,22.60367159,26.80416012,33.54723704,1.103579497,0,1.103579497,
 01/07  11:00:00,81.81467031,2.902461137,0,19.51566862,26.80416012,32.58394034,1.103480165,0,1.103480165,
 01/07  12:00:00,83.60421779,2.902461137,0,19.0575238,26.80416012,34.83163264,1.103678463,0,1.103678463,
 01/07  13:00:00,81.81021433,2.902461137,0,18.54791594,26.80416012,33.54723704,1.103567437,0,1.103567437,
 01/07  14:00:00,77.85340317,2.902461137,0,17.15989599,26.80416012,30.97844583,1.103501044,0,1.103501044,
 01/07  15:00:00,61.05759675,2.902461137,0,28.77374419,8.041248035,21.33170329,0.02,0,0.02,
 01/07  16:00:00,64.90483108,2.902461137,0,33.90537413,8.041248035,20.04730769,1.10328758,0,1.10328758,
 01/07  17:00:00,70.83269316,2.902461137,0,37.04480397,8.041248035,20.36840659,1.103277688,0,1.103277688,
 01/07  18:00:00,82.30975371,2.902461137,0,43.90534699,2.680416012,18.00908948,0.02,0,0.02,
 01/07  19:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.103093956,0,1.103093956,
 01/07  20:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/07  21:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.103043279,0,1.103043279,
 01/07  22:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/07  23:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.103037764,0,1.103037764,
 01/07  24:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  01:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102932285,0,1.102932285,
 01/08  02:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  03:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  04:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102930688,0,1.102930688,
 01/08  05:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
