"PVWatts: Hourly PV Performance Data"
"Requested Location:","28155 christopher lane"
"Location:","SPOKANE, WA"
"Lat (deg N):","47.63"
"Long (deg W):","117.53"
"Elev (m):","721"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","47.5"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","14.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","28","14","1","54","2.8","3.1","48.263","2.309","183.692","157.982"
"11","28","15","0","17","2.8","3.1","13.77","1.363","52.631","29.41"
"11","28","16","0","0","2.2","2.6","0","2.2","0","0"
"11","28","17","0","0","2.8","1.5","0","2.8","0","0"
"11","28","18","0","0","2.2","2.6","0","2.2","0","0"
"11","28","19","0","0","2.2","2.1","0","2.2","0","0"
"11","28","20","0","0","1.1","2.1","0","1.1","0","0"
"11","28","21","0","0","1.1","1.5","0","1.1","0","0"
"11","28","22","0","0","0","0","0","0","0","0"
"11","28","23","0","0","-0.6","2.6","0","-0.6","0","0"
"11","29","0","0","0","0","1.5","0","0","0","0"
"11","29","1","0","0","0","2.1","0","0","0","0"
"11","29","2","0","0","-0.6","1.5","0","-0.6","0","0"
"11","29","3","0","0","-0.6","2.6","0","-0.6","0","0"
"11","29","4","0","0","0","3.1","0","0","0","0"
"11","29","5","0","0","0","2.6","0","0","0","0"
"11","29","6","0","0","0","3.1","0","0","0","0"
"11","29","7","0","19","0","2.1","17.412","-1.699","67.415","43.921"
"11","29","8","1","68","0","1.5","74.298","-0.104","285.687","257.938"
"11","29","9","0","122","0.6","3.1","129.317","2.108","492.714","460.556"
"11","29","10","2","153","0.6","1.5","160.207","3.707","606.257","571.525"
"11","29","11","1","178","1.1","0","189.018","8.059","701.995","665.007"
"11","29","12","0","172","1.1","3.1","183.168","4.267","691.497","654.761"
"11","29","13","1","144","1.1","3.6","157.481","3.473","596.535","562.028"
"11","29","14","64","77","0.6","2.6","134.008","2.588","507.081","474.603"
"11","29","15","124","28","0","2.6","121.301","1.577","450.595","419.363"
"11","29","16","0","0","0","2.6","0","0","0","0"
"11","29","17","0","0","0","3.1","0","0","0","0"
"11","29","18","0","0","0","2.6","0","0","0","0"
"11","29","19","0","0","0","3.6","0","0","0","0"
"11","29","20","0","0","-0.6","0","0","-0.6","0","0"
"11","29","21","0","0","-0.6","4.1","0","-0.6","0","0"
"11","29","22","0","0","-0.6","2.6","0","-0.6","0","0"
"11","29","23","0","0","-0.6","0","0","-0.6","0","0"
"11","30","0","0","0","0","0","0","0","0","0"
"11","30","1","0","0","0","2.6","0","0","0","0"
"11","30","2","0","0","0","1.5","0","0","0","0"
"11","30","3","0","0","0","1.5","0","0","0","0"
"11","30","4","0","0","0","0","0","0","0","0"
"11","30","5","0","0","0","0","0","0","0","0"
"11","30","6","0","0","0","2.6","0","0","0","0"
"11","30","7","3","18","0.6","2.6","17.575","-0.612","67.387","43.893"
"11","30","8","9","50","1.1","1.5","52.647","0.326","201.629","175.567"
"11","30","9","12","134","1.7","3.1","158.718","3.881","599.983","565.396"
"11","30","10","579","94","3.3","3.6","678.797","17.65","2412.957","2322.492"
"11","30","11","479","91","3.9","4.1","608.281","17.037","2169.737","2088.395"
"11","30","12","142","154","4.4","4.1","326.633","11.243","1195.757","1145.897"
"11","30","13","63","141","4.4","4.1","225.18","8.414","834.271","794.039"
"11","30","14","296","68","4.4","3.6","319.976","10.668","1163.869","1114.903"
"11","30","15","33","26","3.3","3.6","53.889","3.574","200.743","174.698"
"11","30","16","0","0","2.2","2.6","0","2.2","0","0"
"11","30","17","0","0","2.2","2.1","0","2.2","0","0"
"11","30","18","0","0","2","2.9","0","2","0","0"
"11","30","19","0","0","1.5","2.9","0","1.5","0","0"
"11","30","20","0","0","1.3","3.6","0","1.3","0","0"
"11","30","21","0","0","1.2","4.3","0","1.2","0","0"
"11","30","22","0","0","0.8","4.5","0","0.8","0","0"
"11","30","23","0","0","0.7","4.5","0","0.7","0","0"
"12","1","0","0","0","1","5.3","0","1","0","0"
"12","1","1","0","0","1.2","6.6","0","1.2","0","0"
"12","1","2","0","0","2.2","9.2","0","2.2","0","0"
"12","1","3","0","0","2.9","8.8","0","2.9","0","0"
"12","1","4","0","0","3.4","10.3","0","3.4","0","0"
"12","1","5","0","0","3.5","9.5","0","3.5","0","0"
"12","1","6","0","0","3.3","7.2","0","3.3","0","0"
"12","1","7","89","14","3.3","11.3","72.901","3.339","266.201","238.849"
"12","1","8","381","42","3.9","9.3","327.475","7.372","1199.936","1149.958"
"12","1","9","269","84","4.4","10.8","350.897","7.982","1299.07","1246.254"
"12","1","10","606","75","5","11.3","679.226","12.364","2472.256","2379.491"
"12","1","11","514","108","6.1","10.8","653.636","13.591","2367.879","2279.143"
"12","1","12","192","121","5.6","9.3","343.038","9.718","1264.103","1212.298"
"12","1","13","61","139","5","9.8","221.108","7.166","823.651","783.685"
"12","1","14","8","58","5.6","9.3","58.816","5.587","220.486","194.051"
"12","1","15","17","21","5","7.7","29.715","4.405","110.432","86.132"
"12","1","16","0","0","4.4","7.2","0","4.4","0","0"
"12","1","17","0","0","5","8.2","0","5","0","0"
"12","1","18","0","0","4.4","6.7","0","4.4","0","0"
"12","1","19","0","0","3.9","5.7","0","3.9","0","0"
"12","1","20","0","0","3.9","6.7","0","3.9","0","0"
"12","1","21","0","0","3.9","6.7","0","3.9","0","0"
"12","1","22","0","0","3.9","8.2","0","3.9","0","0"
"12","1","23","0","0","4.4","8.8","0","4.4","0","0"
"12","2","0","0","0","4.4","8.8","0","4.4","0","0"
"12","2","1","0","0","5","10.3","0","5","0","0"
"12","2","2","0","0","6.7","11.8","0","6.7","0","0"
"12","2","3","0","0","7.2","11.8","0","7.2","0","0"
"12","2","4","0","0","8.3","12.4","0","8.3","0","0"
"12","2","5","0","0","7.8","11.8","0","7.8","0","0"
"12","2","6","0","0","7.8","10.8","0","7.8","0","0"
"12","2","7","0","6","7.2","9.8","4.832","6.361","18.079","0"
"12","2","8","466","44","6.1","10.3","382.595","10.007","1384.539","1329.209"
"12","2","9","612","53","6.1","10.8","587.593","12.609","2128.705","2048.853"
"12","2","10","492","75","6.7","11.8","576.485","12.808","2094.223","2015.611"
"12","2","11","450","98","6.7","12.4","579.589","12.625","2108.669","2029.539"
"12","2","12","432","112","7.2","12.4","571.99","13.047","2076.604","1998.623"
"12","2","13","487","78","6.7","11.8","541.273","12.395","1966.7","1892.588"
"12","2","14","519","42","6.1","10.3","444.636","11.129","1610.119","1547.854"
"12","2","15","333","16","4.4","7.2","210.046","7.028","751.247","713.068"
"12","2","16","0","0","2.8","6.2","0","2.8","0","0"
"12","2","17","0","0","2.2","6.2","0","2.2","0","0"
"12","2","18","0","0","1.1","5.2","0","1.1","0","0"
"12","2","19","0","0","0.6","5.2","0","0.6","0","0"
"12","2","20","0","0","-0.6","3.6","0","-0.6","0","0"
"12","2","21","0","0","0","4.6","0","0","0","0"
"12","2","22","0","0","-1.1","4.1","0","-1.1","0","0"
"12","2","23","0","0","-1.7","4.1","0","-1.7","0","0"
"12","3","0","0","0","-2.2","3.6","0","-2.2","0","0"
"12","3","1","0","0","-2.8","1.5","0","-2.8","0","0"
"12","3","2","0","0","-3.3","3.6","0","-3.3","0","0"
"12","3","3","0","0","-2.8","3.6","0","-2.8","0","0"
"12","3","4","0","0","-1.7","3.6","0","-1.7","0","0"
"12","3","5","0","0","-1.7","3.6","0","-1.7","0","0"
"12","3","6","0","0","-1.1","5.7","0","-1.1","0","0"
"12","3","7","15","15","-2.8","3.1","21.328","-3.625","81.489","57.732"
"12","3","8","139","65","-1.7","3.1","192.944","1.243","730.222","692.554"
"12","3","9","205","111","-0.6","4.1","322.762","5.262","1209.673","1159.421"
"12","3","10","42","115","0","4.1","161.311","2.579","613.155","578.263"
"12","3","11","1","146","0.6","3.1","146.963","2.792","558.32","524.688"
"12","3","12","94","119","1.7","3.1","231.469","5.941","867.219","826.155"
"12","3","13","20","111","3.3","1.5","127.323","5.861","477.153","445.339"
"12","3","14","18","68","1.7","3.1","89.341","2.365","339.342","310.486"
"12","3","15","49","27","2.2","3.6","64.77","2.147","241.914","215.051"
"12","3","16","0","0","0.6","7.2","0","0.6","0","0"
"12","3","17","0","0","0","2.1","0","0","0","0"
"12","3","18","0","0","0","2.1","0","0","0","0"
"12","3","19","0","0","1.1","2.1","0","1.1","0","0"
"12","3","20","0","0","0.6","2.6","0","0.6","0","0"
"12","3","21","0","0","0","2.6","0","0","0","0"
"12","3","22","0","0","0","2.6","0","0","0","0"
"12","3","23","0","0","-1.1","1.5","0","-1.1","0","0"
"12","4","0","0","0","-0.6","1.5","0","-0.6","0","0"
"12","4","1","0","0","0.6","2.1","0","0.6","0","0"
"12","4","2","0","0","-0.6","2.1","0","-0.6","0","0"
"12","4","3","0","0","-0.6","1.5","0","-0.6","0","0"
"12","4","4","0","0","0","3.1","0","0","0","0"
"12","4","5","0","0","0.6","3.6","0","0.6","0","0"
"12","4","6","0","0","0.6","3.6","0","0.6","0","0"
"12","4","7","13","16","0.6","3.1","22.131","-0.601","83.795","59.995"
"12","4","8","115","63","2.2","3.6","164.008","4.327","612.726","577.844"
"12","4","9","1","101","2.2","3.6","103.287","3.247","391.617","361.658"
"12","4","10","110","115","2.2","4.1","239.744","6.047","897.579","855.741"
"12","4","11","542","68","3.9","4.1","634.713","16.692","2267.338","2182.395"
"12","4","12","344","137","5","2.6","506.1","17.925","1797.617","1729.257"
"12","4","13","140","101","5","3.1","242.253","10.468","888.643","847.033"
"12","4","14","246","45","5.6","3.1","253.371","10.626","921.432","878.981"
"12","4","15","61","32","3.9","3.1","82.122","4.748","303.486","275.373"
"12","4","16","0","0","2.2","1.5","0","2.2","0","0"
"12","4","17","0","0","3.3","4.1","0","3.3","0","0"
"12","4","18","0","0","2.2","1.5","0","2.2","0","0"
"12","4","19","0","0","2.2","2.1","0","2.2","0","0"
"12","4","20","0","0","2.2","4.1","0","2.2","0","0"
"12","4","21","0","0","2.2","2.1","0","2.2","0","0"
"12","4","22","0","0","1.1","2.1","0","1.1","0","0"
"12","4","23","0","0","1.7","3.6","0","1.7","0","0"
"12","5","0","0","0","1.7","2.1","0","1.7","0","0"
"12","5","1","0","0","1.7","2.6","0","1.7","0","0"
"12","5","2","0","0","4.4","1.5","0","4.4","0","0"
"12","5","3","0","0","3.3","4.1","0","3.3","0","0"
"12","5","4","0","0","5","5.2","0","5","0","0"
"12","5","5","0","0","6.1","5.7","0","6.1","0","0"
"12","5","6","0","0","5.6","5.7","0","5.6","0","0"
"12","5","7","11","9","6.1","5.2","12.783","5.057","46.86","23.746"
"12","5","8","7","20","6.7","7.2","21.001","5.903","78.343","54.646"
"12","5","9","4","42","7.2","7.7","37.219","6.696","138.977","114.133"
"12","5","10","6","65","7.8","7.7","58.573","7.639","217.901","191.517"
"12","5","11","6","72","7.8","8.8","65.039","7.761","241.844","214.983"
"12","5","12","8","83","8.3","8.2","78.685","8.467","291.679","263.808"
"12","5","13","3","71","9.4","10.8","63.757","9.372","235.399","208.667"
"12","5","14","2","46","8.9","10.3","40.427","8.566","149.736","124.685"
"12","5","15","1","20","8.9","12.4","17.668","8.342","65.442","41.984"
"12","5","16","0","0","8.9","9.3","0","8.9","0","0"
"12","5","17","0","0","8.3","8.8","0","8.3","0","0"
